publikacija_id,autor_id
162664,2686
162664,12076
162669,12077
162678,2441
162687,2168
162688,12078
162706,12079
162708,12080
162710,12081
162711,116
162715,12082
162716,254
162729,12083
162736,91
162749,12084
162753,12085
162762,1435
162765,12086
162767,1713
162776,284
162777,1996
162782,1612
162784,12087
162785,552
162785,3084
162785,3087
162785,3088
162785,3099
162785,3544
162785,3683
162785,4303
162785,4329
162785,4330
162785,5567
162785,6368
162785,7761
162785,12088
162785,12089
162785,12090
162785,12091
162792,5291
162818,195
162824,2690
162836,4500
162838,127
162840,556
162845,12092
162850,2339
162853,12093
162853,12094
162853,12095
162853,12096
162858,12097
162871,10686
162871,10687
162871,12098
162877,12099
162878,12100
162879,480
162881,289
162881,12101
162881,12102
162886,12103
162888,8049
162903,157
162911,12104
162913,12105
162917,727
162926,498
162932,194
162938,280
162940,12106
162945,12107
162947,11651
162948,12108
162952,12109
162954,804
162959,10150
162961,8813
162965,12110
162969,1089
162979,803
162981,2638
162987,189
162998,3380
162999,9174
163000,12111
163004,2464
163008,12112
163011,3186
163018,9110
163035,76
163040,2649
163046,1727
163055,12113
163057,5242
163082,1201
163084,130
163086,299
163095,620
163102,12114
163103,12115
163104,12116
163106,2836
163123,1753
163124,12117
163124,12118
163126,5371
163127,140
163130,2404
163133,4660
163137,24
163137,639
163137,694
163137,723
163137,784
163137,977
163137,2698
163137,2797
163137,3703
163137,4498
163137,6838
163137,8679
163137,12119
163140,1695
163143,3928
163143,7135
163146,10610
163146,12120
163150,7210
163152,11483
163167,3755
163180,553
163185,319
163194,5670
163200,157
163204,4679
163208,12121
163210,150
163214,9063
163218,12122
163219,12123
163227,10946
163237,250
163244,12124
163248,4905
163251,12125
163254,7215
163258,544
163259,693
163260,578
163262,12126
163266,12127
163270,1587
163275,2339
163288,235
163301,6126
163317,1282
163322,12128
163326,12120
163330,578
163340,556
163341,151
163341,908
163341,3646
163341,3648
163341,3651
163341,3653
163341,3654
163341,3655
163341,4604
163341,11751
163341,11752
163341,12129
163341,12130
163341,12131
163352,12132
163352,12133
163352,12134
163357,942
163363,12135
163382,445
163384,597
163386,5703
163390,4865
163394,656
163410,556
163411,12136
163415,12137
163416,4136
163437,1720
163442,12138
163452,161
163457,263
163459,1503
163460,6941
163463,12139
163465,12140
163470,803
163471,5291
163499,10488
163506,12141
163516,563
163524,817
163525,12142
163527,2422
163532,4930
163532,12143
163539,12144
163539,12145
163548,8385
163551,4848
163553,12146
163563,2013
163563,12147
163563,12148
163563,12149
163572,12150
163577,12151
163579,12152
163582,12153
163584,5476
163587,587
163590,935
163599,304
163603,556
163618,22
163619,553
163637,7402
163638,6237
163638,12154
